
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server

  2026-06-19 22:46:39 /api/v1/internal/geodns/health-view ........ ~ 503.90ms
  2026-06-19 22:46:43 /api/v1/auth/admin/login ..................... ~ 0.05ms
  2026-06-19 22:46:48 /api/v1/node/nodes/heartbeat ................. ~ 0.28ms
  2026-06-19 22:46:48 /api/v1/node/resolver/config ................. ~ 0.46ms
  2026-06-19 22:46:52 /api/v1/admin/login ........................ ~ 501.62ms
  2026-06-19 22:46:54 /api/v1/internal/geodns/health-view .......... ~ 0.25ms
  2026-06-19 22:46:58 /api/v1/admin/overview ....................... ~ 0.04ms
  2026-06-19 22:46:58 /api/v1/admin/billing-stats .................. ~ 0.01ms
  2026-06-19 22:46:58 /api/v1/admin/finance/balances ............... ~ 0.01ms
  2026-06-19 22:46:58 /api/v1/admin/billing/balance/3 ............ ~ 502.90ms
  2026-06-19 22:46:58 /api/v1/admin/billing/invoices ............... ~ 0.01ms
  2026-06-19 22:46:58 /api/v1/admin/finance/bills .................. ~ 0.01ms
  2026-06-19 22:46:58 /api/v1/admin/rbac/roles ..................... ~ 0.01ms
  2026-06-19 22:46:58 /api/v1/admin/rbac/admins .................... ~ 0.01ms
  2026-06-19 22:46:58 /api/v1/admin/geo-dns ........................ ~ 0.01ms
  2026-06-19 22:46:58 /api/v1/admin/policy/nodes ................... ~ 0.01ms
  2026-06-19 22:47:09 /api/v1/internal/geodns/health-view .......... ~ 0.71ms
  2026-06-19 22:47:18 /api/v1/node/resolver/config ................. ~ 0.97ms
  2026-06-19 22:47:18 /api/v1/node/nodes/heartbeat ................. ~ 1.78ms
  2026-06-19 22:47:24 /api/v1/internal/geodns/health-view .......... ~ 0.84ms
  2026-06-19 22:47:39 /api/v1/internal/geodns/health-view .......... ~ 0.46ms
  2026-06-19 22:47:48 /api/v1/node/nodes/heartbeat ................. ~ 0.19ms
  2026-06-19 22:47:48 /api/v1/node/resolver/config ............... ~ 503.02ms
  2026-06-19 22:47:54 /api/v1/internal/geodns/health-view .......... ~ 0.80ms
  2026-06-19 22:48:09 /api/v1/internal/geodns/health-view .......... ~ 0.73ms
  2026-06-19 22:48:18 /api/v1/node/resolver/config ................. ~ 0.83ms
  2026-06-19 22:48:18 /api/v1/node/nodes/heartbeat ................. ~ 1.00ms
  2026-06-19 22:48:24 /api/v1/internal/geodns/health-view .......... ~ 0.38ms
  2026-06-19 22:48:39 /api/v1/internal/geodns/health-view .......... ~ 0.27ms
  2026-06-19 22:48:48 /api/v1/node/nodes/heartbeat ................. ~ 0.48ms
  2026-06-19 22:48:48 /api/v1/node/resolver/config ............... ~ 505.12ms
  2026-06-19 22:48:54 /api/v1/internal/geodns/health-view .......... ~ 0.09ms
  2026-06-19 22:49:09 /api/v1/internal/geodns/health-view ........ ~ 501.94ms
  2026-06-19 22:49:18 /api/v1/node/nodes/heartbeat ................. ~ 0.23ms
  2026-06-19 22:49:18 /api/v1/node/resolver/config ................. ~ 1.10ms
  2026-06-19 22:49:24 /api/v1/internal/geodns/health-view .......... ~ 0.30ms
  2026-06-19 22:49:39 /api/v1/internal/geodns/health-view .......... ~ 1.12ms
  2026-06-19 22:49:48 /api/v1/node/resolver/config ................. ~ 0.35ms
  2026-06-19 22:49:48 /api/v1/node/nodes/heartbeat ............... ~ 503.19ms
  2026-06-19 22:49:54 /api/v1/internal/geodns/health-view .......... ~ 0.14ms
  2026-06-19 22:50:09 /api/v1/internal/geodns/health-view .......... ~ 0.44ms
  2026-06-19 22:50:18 /api/v1/node/resolver/config ............... ~ 502.12ms
  2026-06-19 22:50:18 /api/v1/node/nodes/heartbeat ............... ~ 502.42ms
  2026-06-19 22:50:24 /api/v1/internal/geodns/health-view .......... ~ 2.10ms
  2026-06-19 22:50:39 /api/v1/internal/geodns/health-view .......... ~ 0.81ms
  2026-06-19 22:50:48 /api/v1/node/resolver/config ................. ~ 0.36ms
  2026-06-19 22:50:48 /api/v1/node/nodes/heartbeat ................. ~ 0.54ms
  2026-06-19 22:50:54 /api/v1/internal/geodns/health-view .......... ~ 0.23ms
  2026-06-19 22:51:09 /api/v1/internal/geodns/health-view ........ ~ 503.27ms
  2026-06-19 22:51:18 /api/v1/node/resolver/config ................. ~ 0.33ms
  2026-06-19 22:51:18 /api/v1/node/nodes/heartbeat ................. ~ 0.50ms
  2026-06-19 22:51:24 /api/v1/internal/geodns/health-view .......... ~ 0.39ms
  2026-06-19 22:51:39 /api/v1/internal/geodns/health-view .......... ~ 1.04ms
  2026-06-19 22:51:48 /api/v1/node/nodes/heartbeat ................. ~ 0.34ms
  2026-06-19 22:51:48 /api/v1/node/resolver/config ............... ~ 501.87ms
  2026-06-19 22:51:54 /api/v1/internal/geodns/health-view .......... ~ 1.05ms
  2026-06-19 22:52:09 /api/v1/internal/geodns/health-view .......... ~ 0.84ms
  2026-06-19 22:52:18 /api/v1/node/resolver/config ............... ~ 508.20ms
  2026-06-19 22:52:18 /api/v1/node/nodes/heartbeat ............... ~ 508.38ms
  2026-06-19 22:52:24 /api/v1/internal/geodns/health-view .......... ~ 0.16ms
  2026-06-19 22:52:39 /api/v1/internal/geodns/health-view .......... ~ 0.84ms
  2026-06-19 22:52:48 /api/v1/node/nodes/heartbeat ................. ~ 0.25ms
  2026-06-19 22:52:48 /api/v1/node/resolver/config ................. ~ 0.37ms
  2026-06-19 22:52:54 /api/v1/internal/geodns/health-view .......... ~ 0.06ms
  2026-06-19 22:53:09 /api/v1/internal/geodns/health-view ........ ~ 506.87ms
  2026-06-19 22:53:18 /api/v1/node/nodes/heartbeat ................. ~ 0.27ms
  2026-06-19 22:53:18 /api/v1/node/resolver/config ................. ~ 0.60ms
  2026-06-19 22:53:24 /api/v1/internal/geodns/health-view .......... ~ 0.71ms
  2026-06-19 22:53:39 /api/v1/internal/geodns/health-view .......... ~ 0.29ms
  2026-06-19 22:53:48 /api/v1/node/resolver/config ................. ~ 1.27ms
  2026-06-19 22:53:48 /api/v1/node/nodes/heartbeat ................. ~ 1.47ms
  2026-06-19 22:53:54 /api/v1/internal/geodns/health-view .......... ~ 0.14ms
  2026-06-19 22:54:09 /api/v1/internal/geodns/health-view ........ ~ 509.04ms
  2026-06-19 22:54:18 /api/v1/node/nodes/heartbeat ............... ~ 505.76ms
  2026-06-19 22:54:18 /api/v1/node/resolver/config ............... ~ 505.86ms
  2026-06-19 22:54:24 /api/v1/internal/geodns/health-view .......... ~ 0.39ms
  2026-06-19 22:54:39 /api/v1/internal/geodns/health-view .......... ~ 0.25ms
  2026-06-19 22:54:48 /api/v1/node/resolver/config ............... ~ 509.66ms
  2026-06-19 22:54:48 /api/v1/node/nodes/heartbeat ............... ~ 510.05ms
  2026-06-19 22:54:54 /api/v1/internal/geodns/health-view .......... ~ 0.57ms
  2026-06-19 22:55:09 /api/v1/internal/geodns/health-view .......... ~ 0.33ms
  2026-06-19 22:55:18 /api/v1/node/nodes/heartbeat ................. ~ 0.35ms
  2026-06-19 22:55:18 /api/v1/node/resolver/config ................. ~ 0.63ms
  2026-06-19 22:55:24 /api/v1/internal/geodns/health-view .......... ~ 1.27ms
  2026-06-19 22:55:39 /api/v1/internal/geodns/health-view ........ ~ 503.19ms
  2026-06-19 22:55:48 /api/v1/node/resolver/config ................. ~ 0.28ms
  2026-06-19 22:55:48 /api/v1/node/nodes/heartbeat ................. ~ 0.40ms
  2026-06-19 22:55:54 /api/v1/internal/geodns/health-view .......... ~ 0.12ms
  2026-06-19 22:56:09 /api/v1/internal/geodns/health-view .......... ~ 0.43ms
  2026-06-19 22:56:18 /api/v1/node/nodes/heartbeat ................. ~ 0.49ms
  2026-06-19 22:56:18 /api/v1/node/resolver/config ............... ~ 519.79ms
  2026-06-19 22:56:24 /api/v1/internal/geodns/health-view .......... ~ 0.26ms
  2026-06-19 22:56:39 /api/v1/internal/geodns/health-view .......... ~ 0.26ms
  2026-06-19 22:56:48 /api/v1/node/resolver/config ............... ~ 509.44ms
  2026-06-19 22:56:48 /api/v1/node/nodes/heartbeat ............... ~ 509.75ms
  2026-06-19 22:56:54 /api/v1/internal/geodns/health-view .......... ~ 0.14ms
  2026-06-19 22:57:09 /api/v1/internal/geodns/health-view .......... ~ 0.29ms
  2026-06-19 22:57:18 /api/v1/node/resolver/config ................. ~ 0.22ms
  2026-06-19 22:57:18 /api/v1/node/nodes/heartbeat ................. ~ 0.34ms
  2026-06-19 22:57:24 /api/v1/internal/geodns/health-view .......... ~ 0.07ms
  2026-06-19 22:57:39 /api/v1/internal/geodns/health-view ........ ~ 503.92ms
  2026-06-19 22:57:48 /api/v1/node/resolver/config ................. ~ 0.27ms
  2026-06-19 22:57:48 /api/v1/node/nodes/heartbeat ................. ~ 0.39ms
  2026-06-19 22:57:54 /api/v1/internal/geodns/health-view .......... ~ 0.36ms
  2026-06-19 22:58:09 /api/v1/internal/geodns/health-view .......... ~ 0.70ms
  2026-06-19 22:58:18 /api/v1/node/nodes/heartbeat ................. ~ 0.38ms
  2026-06-19 22:58:18 /api/v1/node/resolver/config ................. ~ 0.53ms
  2026-06-19 22:58:24 /api/v1/internal/geodns/health-view .......... ~ 0.18ms
  2026-06-19 22:58:39 /api/v1/internal/geodns/health-view .......... ~ 0.86ms
  2026-06-19 22:58:48 /api/v1/node/resolver/config ............... ~ 510.36ms
  2026-06-19 22:58:48 /api/v1/node/nodes/heartbeat ............... ~ 510.63ms
  2026-06-19 22:58:54 /api/v1/internal/geodns/health-view .......... ~ 0.12ms
  2026-06-19 22:59:09 /api/v1/internal/geodns/health-view .......... ~ 0.37ms
  2026-06-19 22:59:18 /api/v1/node/nodes/heartbeat ................. ~ 0.54ms
  2026-06-19 22:59:18 /api/v1/node/resolver/config ................. ~ 0.87ms
  2026-06-19 22:59:24 /api/v1/internal/geodns/health-view .......... ~ 0.29ms
  2026-06-19 22:59:39 /api/v1/internal/geodns/health-view ........ ~ 503.85ms
  2026-06-19 22:59:48 /api/v1/node/nodes/heartbeat ................. ~ 0.52ms
  2026-06-19 22:59:48 /api/v1/node/resolver/config ................. ~ 0.62ms
  2026-06-19 22:59:54 /api/v1/internal/geodns/health-view .......... ~ 0.32ms
  2026-06-19 23:00:09 /api/v1/internal/geodns/health-view .......... ~ 0.83ms
  2026-06-19 23:00:18 /api/v1/node/nodes/heartbeat ............... ~ 500.73ms
  2026-06-19 23:00:18 /api/v1/node/resolver/config ............... ~ 500.92ms
  2026-06-19 23:00:24 /api/v1/internal/geodns/health-view .......... ~ 0.63ms
  2026-06-19 23:00:39 /api/v1/internal/geodns/health-view ........ ~ 504.03ms
  2026-06-19 23:00:48 /api/v1/node/nodes/heartbeat ................. ~ 0.28ms
  2026-06-19 23:00:48 /api/v1/node/resolver/config ................. ~ 0.39ms
  2026-06-19 23:00:54 /api/v1/internal/geodns/health-view .......... ~ 1.71ms
  2026-06-19 23:01:03 /api/v1/auth/login ......................... ~ 502.82ms
  2026-06-19 23:01:09 /api/v1/internal/geodns/health-view .......... ~ 0.37ms
  2026-06-19 23:01:18 /api/v1/node/resolver/config ............... ~ 505.53ms
  2026-06-19 23:01:18 /api/v1/node/nodes/heartbeat ............... ~ 505.76ms
  2026-06-19 23:01:23 /api/v1/auth/register ...................... ~ 505.24ms
  2026-06-19 23:01:24 /api/v1/internal/geodns/health-view .......... ~ 0.16ms
  2026-06-19 23:01:28 /api/v1/auth/login ........................... ~ 0.13ms
  2026-06-19 23:01:34 /api/v1/user/profiles ...................... ~ 505.07ms
  2026-06-19 23:01:34 /api/v1/user/password ...................... ~ 502.40ms
  2026-06-19 23:01:34 /api/v1/user/password ...................... ~ 504.82ms
  2026-06-19 23:01:35 /api/v1/user/wallet .......................... ~ 0.06ms
  2026-06-19 23:01:35 /api/v1/user/wallet/recharge ................. ~ 0.02ms
  2026-06-19 23:01:35 /api/v1/user/teams ........................... ~ 0.02ms
  2026-06-19 23:01:35 /api/v1/user/teams ........................... ~ 0.01ms
  2026-06-19 23:01:35 /api/v1/admin/login .......................... ~ 0.01ms
  2026-06-19 23:01:39 /api/v1/internal/geodns/health-view ........ ~ 503.21ms
